Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster
1000,5147.75,19,2022-07-27,903,2
1002,3274.5,7,2022-12-02,775,3
1010,3815.0,6,2018-07-12,2379,3
1013,12656.5,10,2020-09-04,1594,2
1018,4985.6,15,2017-02-08,2898,3
1021,3440.5,3,2017-10-22,2642,1
1026,3835.52,13,2020-12-21,1486,3
1027,1175.75,4,2024-07-23,176,0
1032,1472.0,6,2018-11-30,2238,1
1037,7023.6,17,2022-10-07,831,2
1043,2765.01,7,2022-09-29,839,3
1044,301.5,1,2016-06-26,3125,1
1045,6142.25,7,2022-06-28,932,3
1047,5296.01,7,2020-05-25,1696,3
1049,11722.1,20,2025-01-16,-1,2
1050,2526.0,4,2017-12-05,2598,1
1054,285.0,1,2016-03-07,3236,1
1055,13481.8,18,2020-02-27,1784,2
1056,10635.63,12,2022-10-13,825,2
1063,715.5,1,2016-05-11,3171,1
1064,7238.5599999999995,18,2022-04-05,1016,2
1065,523.25,2,2019-09-11,1953,1
1069,3115.35,8,2023-03-03,684,3
1073,367.0,1,2019-04-25,2092,1
1075,11563.79,16,2025-01-14,1,2
1076,5150.6,7,2019-06-11,2045,3
1077,16241.5,8,2018-01-10,2562,2
1080,2761.45,10,2022-06-22,938,3
1081,7450.06,8,2023-03-01,686,3
1083,1749.0,3,2018-07-10,2381,1
1084,1446.0,3,2017-03-12,2866,1
1085,9053.53,18,2023-01-24,722,2
1086,1404.5,2,2017-05-08,2809,1
1087,8776.78,15,2023-04-13,643,2
1088,231.0,1,2020-12-17,1490,0
1093,289.5,1,2016-02-17,3255,1
1095,3037.0,4,2024-12-12,34,0
1096,372.5,1,2016-05-08,3174,1
1099,1208.0,3,2016-12-08,2960,1
1100,4144.0,3,2023-03-10,677,0
1103,271.5,1,2018-11-09,2259,1
1108,10492.5,7,2019-06-24,2032,3
1111,878.5,1,2017-01-17,2920,1
1118,186.0,1,2017-06-15,2771,1
1119,641.0,1,2014-03-28,3946,1
1121,282.0,1,2020-11-26,1511,0
1124,5124.5,8,2022-10-03,835,3
1125,1210.1,4,2017-12-12,2591,1
1127,240.0,1,2017-07-05,2751,1
1128,559.1,2,2019-05-06,2081,1
1134,1299.5,2,2018-07-11,2380,1
1137,12602.4,6,2022-01-19,1092,2
1139,8693.3,10,2023-03-07,680,2
1142,4971.71,8,2017-03-22,2856,3
1143,924.5,2,2018-12-19,2219,1
1145,5129.7,10,2022-10-24,814,3
1149,11395.01,18,2023-04-12,644,2
1150,281.42,1,2013-10-04,4121,1
1156,4673.65,10,2024-10-07,100,3
1159,4179.4,11,2022-07-28,902,3
1164,5314.16,8,2021-04-22,1364,3
1169,2659.2,2,2020-03-31,1751,1
1170,319.5,1,2017-02-14,2892,1
1171,866.0,2,2017-05-08,2809,1
1174,2517.75,3,2019-03-14,2134,1
1176,5437.64,15,2023-02-02,713,2
1177,2050.1,7,2019-12-05,1868,3
1179,255.0,1,2014-05-26,3887,1
1181,3410.0,1,2017-03-13,2865,1
1184,2103.5,5,2020-04-22,1729,0
1185,1185.0,2,2018-11-16,2252,1
1187,267.5,1,2016-05-17,3165,1
1188,11619.4,7,2020-07-02,1658,2
1189,190.5,1,2016-01-13,3290,1
1190,6385.35,5,2024-08-21,147,3
1191,5411.0,5,2018-03-20,2493,3
1192,770.0,3,2021-10-25,1178,0
1193,707.0,1,2014-03-12,3962,1
1194,7604.2,9,2024-12-04,42,3
1195,11720.2,12,2016-09-04,3055,2
1199,260.0,1,2016-05-03,3179,1
1202,52.0,1,2017-10-01,2663,1
1203,15183.17,18,2023-03-28,659,2
1204,3753.3,5,2018-06-07,2414,1
1205,141.0,1,2014-03-07,3967,1
1207,1854.0,3,2023-04-21,635,0
1209,610.0,2,2019-05-16,2071,1
1216,598.5,2,2018-02-22,2519,1
1219,726.35,2,2017-07-06,2750,1
1221,1852.0,3,2019-02-27,2149,1
1223,1222.0,1,2016-05-09,3173,1
1224,1449.85,4,2016-02-14,3258,1
1228,2916.0,11,2024-11-18,58,3
1233,431.4,2,2017-10-16,2648,1
1238,498.7,1,2014-03-19,3955,1
1242,5103.98,3,2021-10-11,1192,3
1244,849.55,4,2018-01-18,2554,1
1245,381.5,1,2016-03-14,3229,1
1246,7963.25,6,2019-03-04,2144,3
1247,3443.0,2,2016-04-05,3207,1
1250,8804.8,7,2018-07-09,2382,3
1254,567.5,3,2021-07-27,1268,0
1255,214.5,1,2016-08-16,3074,1
1257,5337.39,13,2024-09-06,131,2
1258,3877.16,6,2022-10-06,832,3
1260,258.5,1,2018-10-26,2273,1
1261,1256.9099999999999,4,2018-06-04,2417,1
1262,2247.1,5,2022-06-01,959,0
1265,5865.42,2,2017-02-16,2890,1
1267,2394.85,4,2023-04-19,637,0
1268,4115.5,14,2024-10-15,92,2
1269,450.9,1,2018-05-29,2423,1
1271,444.0,2,2016-10-11,3018,1
1272,8033.4,16,2019-10-25,1909,2
1274,379.7,1,2017-01-24,2913,1
1275,543.0,1,2016-04-11,3201,1
1277,470.0,1,2018-08-23,2337,1
1278,1231.08,6,2022-05-24,967,0
1280,1685.0,2,2019-04-29,2088,1
1282,10896.6,17,2024-12-09,37,2
1283,5009.08,11,2022-07-19,911,3
1286,725.0,1,2017-11-27,2606,1
1289,1187.0,1,2017-02-19,2887,1
1290,555.2,2,2016-06-01,3150,1
1291,8161.0,6,2019-07-29,1997,3
1294,528.28,1,2016-06-01,3150,1
1295,6800.98,13,2022-02-07,1073,2
1296,3157.0,2,2018-04-20,2462,1
1299,1250.75,2,2022-10-24,814,0
1301,228.0,1,2017-10-16,2648,1
1302,60.0,1,2020-05-22,1699,0
1303,236.65,1,2022-05-20,971,0
1304,1477.0,4,2024-07-22,177,0
1305,1940.0,1,2016-01-19,3284,1
1308,593.64,1,2022-11-08,799,0
1313,1499.5,5,2022-06-07,953,0
1317,1039.0,1,2016-04-11,3201,1
1318,8944.619999999999,15,2019-05-07,2080,2
1320,379.2,1,2017-05-02,2815,1
1321,8280.4,13,2021-07-30,1265,2
1322,1185.0,1,2016-01-10,3293,1
1324,2193.5,3,2024-12-16,30,0
1326,338.5,1,2016-09-11,3048,1
1327,1037.0,3,2023-05-24,602,0
1329,5735.35,8,2017-11-01,2632,3
1331,9978.01,8,2019-12-20,1853,3
1332,885.0,1,2016-02-07,3265,1
1335,1476.5,2,2016-05-16,3166,1
1336,2617.0,3,2019-06-18,2038,1
1340,538.5,2,2016-11-02,2996,1
1341,1256.66,5,2022-02-10,1070,0
1342,3310.25,3,2017-11-29,2604,1
1344,693.0,1,2018-05-24,2428,1
1345,2577.09,8,2023-05-10,616,3
1347,2743.25,6,2022-10-06,832,3
1350,7842.5,5,2020-01-07,1835,3
1351,5752.8,5,2021-10-04,1199,3
1352,1464.25,4,2021-11-15,1157,0
1355,1856.72,4,2017-04-04,2843,1
1356,267.6,1,2016-01-19,3284,1
1357,3316.75,5,2024-11-12,64,0
1359,5967.5,4,2022-05-10,981,3
1360,13758.78,10,2024-11-04,72,2
1361,1911.87,7,2021-11-10,1162,3
1362,214.32,1,2019-10-25,1909,1
1363,9770.79,18,2022-09-08,860,2
1364,288.5,1,2017-08-29,2696,1
1365,3126.04,11,2019-04-05,2112,3
1366,1839.0,1,2016-11-01,2997,1
1367,2965.59,5,2021-11-26,1146,3
1368,1135.75,2,2018-06-20,2401,1
1369,7765.99,7,2023-03-22,665,3
1370,1287.5,3,2019-11-12,1891,1
1374,4839.3,11,2022-03-10,1042,3
1376,423.5,2,2017-06-22,2764,1
1377,2616.36,8,2021-10-06,1197,3
1378,860.5,3,2019-01-09,2198,1
1379,324.0,3,2018-01-22,2550,1
1380,256.5,1,2017-05-31,2786,1
1381,298.5,1,2022-11-14,793,0
1383,10830.24,19,2022-11-22,785,2
1384,10969.35,11,2023-02-13,702,2
1387,3548.3,3,2019-07-22,2004,1
1388,12683.51,13,2023-04-25,631,2
1391,1263.9,4,2017-10-24,2640,1
1392,7766.55,13,2020-02-04,1807,2
1395,4800.0,7,2022-06-08,952,3
1396,532.0,1,2016-03-21,3222,1
1397,9521.75,8,2018-07-10,2381,3
1399,1227.5,4,2017-08-22,2703,1
1402,5825.52,10,2024-12-11,35,3
1403,232.6,1,2016-07-04,3117,1
1404,765.16,1,2018-03-02,2511,1
1405,4019.0,2,2017-06-26,2760,1
1406,462.0,1,2016-11-16,2982,1
1408,1333.12,5,2023-03-30,657,0
1409,338.0,1,2017-10-02,2662,1
1410,847.0,1,2016-07-19,3102,1
1411,1553.0,5,2020-11-09,1528,0
1413,848.6,1,2017-01-15,2922,1
1415,8646.369999999999,16,2023-05-02,624,2
1416,170.4,1,2016-01-19,3284,1
1418,506.0,1,2016-03-30,3213,1
1419,445.0,1,2016-09-14,3045,1
1420,6219.5,4,2017-11-09,2624,3
1421,428.45,2,2024-09-05,132,0
1422,2100.0,5,2018-01-30,2542,1
1423,780.06,6,2017-03-12,2866,1
1425,205.8,1,2016-03-03,3240,1
1426,1536.15,4,2020-01-24,1818,1
1427,1423.6,8,2016-04-04,3208,1
1430,317.5,1,2016-12-05,2963,1
1431,329.7,1,2016-02-07,3265,1
1432,7674.41,20,2022-11-16,791,2
1434,2274.85,7,2018-12-03,2235,1
1435,2769.9,3,2018-02-07,2534,1
1436,190.0,2,2018-02-21,2520,1
1438,4177.5,6,2018-06-20,2401,3
1439,983.5,3,2019-10-08,1926,1
1440,250.0,1,2017-02-14,2892,1
1441,3000.98,5,2022-12-09,768,0
1442,485.5,1,2018-04-05,2477,1
1443,4101.860000000001,10,2023-04-12,644,3
1444,624.9,2,2018-06-27,2394,1
1445,5395.75,7,2017-06-05,2781,3
1446,413.5,1,2017-06-27,2759,1
1448,10010.85,15,2018-10-26,2273,2
1449,2939.5,5,2022-05-16,975,0
1450,2546.54,4,2021-04-01,1385,0
1451,2458.5,3,2020-12-04,1503,0
1452,911.0,1,2016-04-07,3205,1
1453,646.6,2,2016-11-01,2997,1
1454,337.0,3,2017-02-22,2884,1
1455,3835.0,4,2019-05-21,2066,1
1456,3724.14,13,2024-10-09,98,3
1458,1930.5,4,2018-03-08,2505,1
1459,3875.5,8,2024-11-26,50,3
1461,280.8,1,2016-04-24,3188,1
1462,175.5,1,2016-04-24,3188,1
1463,1901.6,2,2016-11-09,2989,1
1464,3721.35,6,2018-10-30,2269,3
1465,6284.8,5,2021-06-11,1314,3
1466,365.4,1,2016-04-27,3185,1
1467,1808.22,4,2021-03-18,1399,0
1468,8344.72,10,2016-11-09,2989,3
1469,1277.5,3,2020-09-22,1576,0
1470,9766.49,11,2024-07-17,182,2
1471,11832.79,15,2020-03-02,1780,2
1472,2764.1,5,2019-08-01,1994,1
1473,536.49,3,2018-12-21,2217,1
1474,7611.31,12,2022-12-21,756,2
1475,3864.6400000000003,11,2022-01-14,1097,3
1477,2857.5,3,2018-11-09,2259,1
1478,1308.03,3,2019-01-09,2198,1
1479,725.5,3,2016-07-20,3101,1
1480,993.05,2,2017-09-27,2667,1
1481,4616.0,4,2017-10-30,2634,1
1482,4882.67,12,2022-05-24,967,3
1483,734.5,1,2016-06-05,3146,1
1485,7992.91,17,2023-03-20,667,2
1486,334.0,1,2016-06-26,3125,1
1487,460.0,1,2016-07-12,3109,1
1488,326.0,1,2016-08-21,3069,1
1489,4966.0,3,2016-12-15,2953,1
1490,2174.1,4,2018-07-17,2374,1
1491,14711.91,18,2022-05-17,974,2
1492,285.0,1,2016-09-21,3038,1
1493,2057.8,6,2019-12-12,1861,3
1494,3382.5,10,2023-04-12,644,3
1495,2484.6,2,2016-09-28,3031,1
1496,2365.7,2,2017-06-29,2757,1
1497,8586.33,12,2019-02-14,2162,2
1499,150.5,1,2016-10-09,3020,1
1500,365.0,1,2016-10-09,3020,1
1501,6996.05,11,2021-10-22,1181,3
1503,605.7,1,2016-10-30,2999,1
1504,225.0,1,2017-01-25,2912,1
1505,300.0,1,2017-03-07,2871,1
1506,251.0,1,2016-10-30,2999,1
1507,2312.65,7,2022-11-23,784,3
1508,750.9,2,2017-05-08,2809,1
1510,1428.4,3,2020-07-27,1633,0
1511,402.0,1,2016-11-08,2990,1
1513,1980.5,2,2018-02-26,2515,1
1514,1767.72,7,2020-05-13,1708,3
1516,1115.0,2,2018-11-22,2246,1
1517,159.0,1,2017-05-21,2796,1
1518,687.0,1,2016-12-05,2963,1
1519,2232.5,5,2024-10-10,97,0
1520,3176.2799999999997,5,2018-01-23,2549,1
1522,351.0,1,2017-03-22,2856,1
1523,190.0,1,2017-01-10,2927,1
1524,292.5,1,2017-01-15,2922,1
1525,217.8,1,2017-01-18,2919,1
1527,8799.0,5,2025-01-13,2,3
1529,2093.65,6,2024-08-01,167,0
1531,407.0,1,2017-07-20,2736,1
1532,1324.0,3,2018-05-03,2449,1
1535,446.7,2,2019-11-07,1896,1
1536,407.03,1,2017-04-11,2836,1
1538,3105.0,2,2018-06-19,2402,1
1539,2362.01,4,2022-11-04,803,0
1540,584.8,2,2018-10-31,2268,1
1541,1309.45,5,2021-03-04,1413,0
1543,776.0,1,2017-11-16,2617,1
1544,808.5,2,2017-12-12,2591,1
1545,2409.8199999999997,2,2017-05-14,2803,1
1546,739.0,2,2017-06-18,2768,1
1547,2861.0,3,2018-05-23,2429,1
1548,2839.5,4,2019-11-27,1876,1
1549,320.4,1,2017-06-01,2785,1
1550,4013.44,7,2020-03-31,1751,3
1551,1957.0,1,2017-07-19,2737,1
1552,2709.0,4,2019-07-03,2023,1
1553,713.14,1,2017-07-12,2744,1
1554,367.6,1,2017-09-07,2687,1
1556,766.8,1,2017-07-26,2730,1
1557,5119.0,2,2023-03-10,677,3
1558,6426.48,12,2022-06-13,947,2
1559,1829.25,2,2017-12-04,2599,1
1560,220.0,1,2018-02-28,2513,1
1561,233.5,1,2017-08-28,2697,1
1562,3187.38,11,2022-10-06,832,3
1565,304.0,1,2017-08-21,2704,1
1566,3231.5,2,2021-04-12,1374,0
1567,264.0,1,2017-09-21,2673,1
1568,1092.0,4,2018-04-17,2465,1
1569,1555.0,3,2019-03-11,2137,1
1570,1056.53,1,2017-10-15,2649,1
1571,1165.15,4,2020-07-02,1658,0
1574,644.0,1,2017-10-19,2645,1
1575,193.5,1,2017-10-24,2640,1
1576,2446.9,5,2022-12-15,762,0
1577,3197.52,4,2020-01-20,1822,1
1578,1661.0900000000001,4,2024-08-01,167,0
1580,257.83,1,2017-11-07,2626,1
1581,483.0,1,2017-11-19,2614,1
1582,155.25,1,2017-11-28,2605,1
1583,1035.0,3,2017-11-30,2603,1
1584,1614.0,3,2021-12-01,1141,0
1585,2872.35,5,2024-10-24,83,0
1586,944.6,3,2022-10-06,832,0
1587,3517.92,2,2018-05-18,2434,1
1589,4229.32,11,2023-02-28,687,3
1590,125.5,1,2018-01-08,2564,1
1591,7683.53,12,2024-11-28,48,2
1592,2729.59,5,2021-02-03,1442,3
